Scheme Name	Net Asset Value
	
	
	
	
	
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	114.4576
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	113.9913
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	111.4426
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	161.7305
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	110.56
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	108.2189
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	110.3886
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	110.9713
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	320.1337
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	480.562
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	330.3338
	
	
	
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2371.4905
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1034.6783
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1039.0071
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2310.9219
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1034.5221
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.9224
	
	
	
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3583
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4766
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4693
BANDHAN Banking & PSU Debt Fund - Direct Growth	22.1230
BANDHAN Banking & PSU Debt Fund - Direct IDCW	11.6378
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4363
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.7185
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3658
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8779
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6233
BANDHAN Banking & PSU Debt Fund - Regular Growth	21.6077
BANDHAN Banking & PSU Debt Fund - Regular IDCW	11.6681
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6792
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.6286
	
	
	
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.1842
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	11.2016
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.2445
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	11.0345
